"Town","FIPS","Year","Age Range","Measure Type","Variable","Value"
"Ansonia","0900901220",2015,"10 years and over","Number","DUI Arrests",34
"Ansonia","0900901220",2015,"10 years and over","Rate (per 10,000)","DUI Arrests",20.04
"Ansonia","0900901220",2015,"10 years and over","Rate (per 10,000)","Margins of Error",1.07
"Ansonia","0900901220",2015,"10 to 17 years","Number","DUI Arrests",0
"Ansonia","0900901220",2015,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Ansonia","0900901220",2015,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2015,"10 to 20 years","Number","DUI Arrests",1
"Ansonia","0900901220",2015,"10 to 20 years","Rate (per 10,000)","DUI Arrests",3.37
"Ansonia","0900901220",2015,"10 to 20 years","Rate (per 10,000)","Margins of Error",0.49
"Ansonia","0900901220",2015,"18 to 24 years","Number","DUI Arrests",5
"Ansonia","0900901220",2015,"18 to 24 years","Rate (per 10,000)","DUI Arrests",28.07
"Ansonia","0900901220",2015,"18 to 24 years","Rate (per 10,000)","Margins of Error",5.23
"Ansonia","0900901220",2015,"21 years and over","Number","DUI Arrests",33
"Ansonia","0900901220",2015,"21 years and over","Rate (per 10,000)","DUI Arrests",23.57
"Ansonia","0900901220",2015,"21 years and over","Rate (per 10,000)","Margins of Error",1.34
"Ansonia","0900901220",2016,"Total","Number","DUI Arrests",43
"Ansonia","0900901220",2016,"Total","Rate (per 10,000)","DUI Arrests",22.69
"Ansonia","0900901220",2016,"Total","Rate (per 10,000)","Margins of Error",0.04
"Ansonia","0900901220",2016,"10 years and over","Number","DUI Arrests",43
"Ansonia","0900901220",2016,"10 years and over","Rate (per 10,000)","DUI Arrests",25.31
"Ansonia","0900901220",2016,"10 years and over","Rate (per 10,000)","Margins of Error",1.48
"Ansonia","0900901220",2016,"10 to 17 years","Number","DUI Arrests",0
"Ansonia","0900901220",2016,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Ansonia","0900901220",2016,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2016,"10 to 20 years","Number","DUI Arrests",0
"Ansonia","0900901220",2016,"10 to 20 years","Rate (per 10,000)","DUI Arrests",0
"Ansonia","0900901220",2016,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2016,"18 to 24 years","Number","DUI Arrests",5
"Ansonia","0900901220",2016,"18 to 24 years","Rate (per 10,000)","DUI Arrests",24.98
"Ansonia","0900901220",2016,"18 to 24 years","Rate (per 10,000)","Margins of Error",4.73
"Ansonia","0900901220",2016,"21 years and over","Number","DUI Arrests",43
"Ansonia","0900901220",2016,"21 years and over","Rate (per 10,000)","DUI Arrests",30.94
"Ansonia","0900901220",2016,"21 years and over","Rate (per 10,000)","Margins of Error",1.91
"Ashford","0901501430",2010,"Total","Number","DUI Arrests",13
"Ashford","0901501430",2010,"Total","Rate (per 10,000)","DUI Arrests",30.09
"Ashford","0901501430",2010,"Total","Rate (per 10,000)","Margins of Error",0.17
"Ashford","0901501430",2010,"10 years and over","Number","DUI Arrests",13
"Ashford","0901501430",2010,"10 years and over","Rate (per 10,000)","DUI Arrests",34.17
"Ashford","0901501430",2010,"10 years and over","Rate (per 10,000)","Margins of Error",3.12
"Ashford","0901501430",2010,"10 to 17 years","Number","DUI Arrests",0
"Ashford","0901501430",2010,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Ashford","0901501430",2010,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2010,"10 to 20 years","Number","DUI Arrests",1
"Ashford","0901501430",2010,"10 to 20 years","Rate (per 10,000)","DUI Arrests",16.21
"Ashford","0901501430",2010,"10 to 20 years","Rate (per 10,000)","Margins of Error",3.45
"Ashford","0901501430",2010,"18 to 24 years","Number","DUI Arrests",3
"Ashford","0901501430",2010,"18 to 24 years","Rate (per 10,000)","DUI Arrests",66.08
"Ashford","0901501430",2010,"18 to 24 years","Rate (per 10,000)","Margins of Error",20.1
"Ashford","0901501430",2010,"21 years and over","Number","DUI Arrests",12
"Ashford","0901501430",2010,"21 years and over","Rate (per 10,000)","DUI Arrests",37.65
"Ashford","0901501430",2010,"21 years and over","Rate (per 10,000)","Margins of Error",3.79
"Ashford","0901501430",2011,"Total","Number","DUI Arrests",13
"Ashford","0901501430",2011,"Total","Rate (per 10,000)","DUI Arrests",30.17
"Ashford","0901501430",2011,"Total","Rate (per 10,000)","Margins of Error",0.18
"Ashford","0901501430",2011,"10 years and over","Number","DUI Arrests",13
"Ashford","0901501430",2011,"10 years and over","Rate (per 10,000)","DUI Arrests",34.11
"Ashford","0901501430",2011,"10 years and over","Rate (per 10,000)","Margins of Error",3.31
"Ashford","0901501430",2011,"10 to 17 years","Number","DUI Arrests",1
"Ashford","0901501430",2011,"10 to 17 years","Rate (per 10,000)","DUI Arrests",23.09
"Ashford","0901501430",2011,"10 to 17 years","Rate (per 10,000)","Margins of Error",5.47
"Ashford","0901501430",2011,"10 to 20 years","Number","DUI Arrests",1
"Ashford","0901501430",2011,"10 to 20 years","Rate (per 10,000)","DUI Arrests",16.92
"Ashford","0901501430",2011,"10 to 20 years","Rate (per 10,000)","Margins of Error",3.61
"Ashford","0901501430",2011,"18 to 24 years","Number","DUI Arrests",3
"Ashford","0901501430",2011,"18 to 24 years","Rate (per 10,000)","DUI Arrests",62.5
"Ashford","0901501430",2011,"18 to 24 years","Rate (per 10,000)","Margins of Error",17.22
"Ashford","0901501430",2011,"21 years and over","Number","DUI Arrests",12
"Ashford","0901501430",2011,"21 years and over","Rate (per 10,000)","DUI Arrests",37.27
"Ashford","0901501430",2011,"21 years and over","Rate (per 10,000)","Margins of Error",4.02
"Ashford","0901501430",2012,"Total","Number","DUI Arrests",10
"Ashford","0901501430",2012,"Total","Rate (per 10,000)","DUI Arrests",23.22
"Ashford","0901501430",2012,"Total","Rate (per 10,000)","Margins of Error",0.1
"Ashford","0901501430",2012,"10 years and over","Number","DUI Arrests",10
"Ashford","0901501430",2012,"10 years and over","Rate (per 10,000)","DUI Arrests",26.16
"Ashford","0901501430",2012,"10 years and over","Rate (per 10,000)","Margins of Error",2.24
"Ashford","0901501430",2012,"10 to 17 years","Number","DUI Arrests",0
"Ashford","0901501430",2012,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Ashford","0901501430",2012,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2012,"10 to 20 years","Number","DUI Arrests",1
"Ashford","0901501430",2012,"10 to 20 years","Rate (per 10,000)","DUI Arrests",16.56
"Ashford","0901501430",2012,"10 to 20 years","Rate (per 10,000)","Margins of Error",3.64
"Ashford","0901501430",2012,"18 to 24 years","Number","DUI Arrests",2
"Ashford","0901501430",2012,"18 to 24 years","Rate (per 10,000)","DUI Arrests",47.51
"Ashford","0901501430",2012,"18 to 24 years","Rate (per 10,000)","Margins of Error",12.57
"Ashford","0901501430",2012,"21 years and over","Number","DUI Arrests",9
"Ashford","0901501430",2012,"21 years and over","Rate (per 10,000)","DUI Arrests",27.96
"Ashford","0901501430",2012,"21 years and over","Rate (per 10,000)","Margins of Error",2.6
"Ashford","0901501430",2013,"Total","Number","DUI Arrests",11
"Ashford","0901501430",2013,"Total","Rate (per 10,000)","DUI Arrests",25.58
"Ashford","0901501430",2013,"Total","Rate (per 10,000)","Margins of Error",0.1
"Ashford","0901501430",2013,"10 years and over","Number","DUI Arrests",11
"Ashford","0901501430",2013,"10 years and over","Rate (per 10,000)","DUI Arrests",28.32
"Ashford","0901501430",2013,"10 years and over","Rate (per 10,000)","Margins of Error",2.41
"Ashford","0901501430",2013,"10 to 17 years","Number","DUI Arrests",0
"Ashford","0901501430",2013,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Ashford","0901501430",2013,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2013,"10 to 20 years","Number","DUI Arrests",1
"Ashford","0901501430",2013,"10 to 20 years","Rate (per 10,000)","DUI Arrests",14.97
"Ashford","0901501430",2013,"10 to 20 years","Rate (per 10,000)","Margins of Error",3.26
"Ashford","0901501430",2013,"18 to 24 years","Number","DUI Arrests",2
"Ashford","0901501430",2013,"18 to 24 years","Rate (per 10,000)","DUI Arrests",48.78
"Ashford","0901501430",2013,"18 to 24 years","Rate (per 10,000)","Margins of Error",13.75
"Ashford","0901501430",2013,"21 years and over","Number","DUI Arrests",10
"Ashford","0901501430",2013,"21 years and over","Rate (per 10,000)","DUI Arrests",31.09
"Ashford","0901501430",2013,"21 years and over","Rate (per 10,000)","Margins of Error",2.87
"Ashford","0901501430",2014,"Total","Number","DUI Arrests",8
"Ashford","0901501430",2014,"Total","Rate (per 10,000)","DUI Arrests",18.62
"Ashford","0901501430",2014,"Total","Rate (per 10,000)","Margins of Error",0.1
"Ashford","0901501430",2014,"10 years and over","Number","DUI Arrests",8
"Ashford","0901501430",2014,"10 years and over","Rate (per 10,000)","DUI Arrests",20.25
"Ashford","0901501430",2014,"10 years and over","Rate (per 10,000)","Margins of Error",1.63
"Ashford","0901501430",2014,"10 to 17 years","Number","DUI Arrests",0
"Ashford","0901501430",2014,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Ashford","0901501430",2014,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2014,"10 to 20 years","Number","DUI Arrests",0
"Ashford","0901501430",2014,"10 to 20 years","Rate (per 10,000)","DUI Arrests",0
"Ashford","0901501430",2014,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ashford","0901501430",2014,"18 to 24 years","Number","DUI Arrests",4
"Ashford","0901501430",2014,"18 to 24 years","Rate (per 10,000)","DUI Arrests",116.62
"Ashford","0901501430",2014,"18 to 24 years","Rate (per 10,000)","Margins of Error",35.1
"Ashford","0901501430",2014,"21 years and over","Number","DUI Arrests",8
"Ashford","0901501430",2014,"21 years and over","Rate (per 10,000)","DUI Arrests",24.46
"Ashford","0901501430",2014,"21 years and over","Rate (per 10,000)","Margins of Error",2.12
"Ashford","0901501430",2015,"Total","Number","DUI Arrests",9
"Ashford","0901501430",2015,"Total","Rate (per 10,000)","DUI Arrests",21.02
