"Town","FIPS","Year","Age Range","Measure Type","Variable","Value"
"Andover","0901301080",2010,"Total","Number","DUI Arrests",6
"Andover","0901301080",2010,"Total","Rate (per 10,000)","DUI Arrests",18.48
"Andover","0901301080",2010,"Total","Rate (per 10,000)","Margins of Error",0.78
"Andover","0901301080",2010,"10 years and over","Number","DUI Arrests",6
"Andover","0901301080",2010,"10 years and over","Rate (per 10,000)","DUI Arrests",20.84
"Andover","0901301080",2010,"10 years and over","Rate (per 10,000)","Margins of Error",2.65
"Andover","0901301080",2010,"10 to 17 years","Number","DUI Arrests",0
"Andover","0901301080",2010,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2010,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2010,"10 to 20 years","Number","DUI Arrests",0
"Andover","0901301080",2010,"10 to 20 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2010,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2010,"18 to 24 years","Number","DUI Arrests",4
"Andover","0901301080",2010,"18 to 24 years","Rate (per 10,000)","DUI Arrests",229.89
"Andover","0901301080",2010,"18 to 24 years","Rate (per 10,000)","Margins of Error",192.1
"Andover","0901301080",2010,"21 years and over","Number","DUI Arrests",6
"Andover","0901301080",2010,"21 years and over","Rate (per 10,000)","DUI Arrests",24.8
"Andover","0901301080",2010,"21 years and over","Rate (per 10,000)","Margins of Error",3.59
"Andover","0901301080",2011,"Total","Number","DUI Arrests",5
"Andover","0901301080",2011,"Total","Rate (per 10,000)","DUI Arrests",15.91
"Andover","0901301080",2011,"Total","Rate (per 10,000)","Margins of Error",0.88
"Andover","0901301080",2011,"10 years and over","Number","DUI Arrests",5
"Andover","0901301080",2011,"10 years and over","Rate (per 10,000)","DUI Arrests",18.06
"Andover","0901301080",2011,"10 years and over","Rate (per 10,000)","Margins of Error",2.13
"Andover","0901301080",2011,"10 to 17 years","Number","DUI Arrests",0
"Andover","0901301080",2011,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2011,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2011,"10 to 20 years","Number","DUI Arrests",0
"Andover","0901301080",2011,"10 to 20 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2011,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2011,"18 to 24 years","Number","DUI Arrests",0
"Andover","0901301080",2011,"18 to 24 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2011,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2011,"21 years and over","Number","DUI Arrests",5
"Andover","0901301080",2011,"21 years and over","Rate (per 10,000)","DUI Arrests",21.89
"Andover","0901301080",2011,"21 years and over","Rate (per 10,000)","Margins of Error",2.9
"Andover","0901301080",2012,"Total","Number","DUI Arrests",7
"Andover","0901301080",2012,"Total","Rate (per 10,000)","DUI Arrests",21.98
"Andover","0901301080",2012,"Total","Rate (per 10,000)","Margins of Error",0.99
"Andover","0901301080",2012,"10 years and over","Number","DUI Arrests",7
"Andover","0901301080",2012,"10 years and over","Rate (per 10,000)","DUI Arrests",24.35
"Andover","0901301080",2012,"10 years and over","Rate (per 10,000)","Margins of Error",2.31
"Andover","0901301080",2012,"10 to 17 years","Number","DUI Arrests",0
"Andover","0901301080",2012,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2012,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2012,"10 to 20 years","Number","DUI Arrests",1
"Andover","0901301080",2012,"10 to 20 years","Rate (per 10,000)","DUI Arrests",16.56
"Andover","0901301080",2012,"10 to 20 years","Rate (per 10,000)","Margins of Error",3.55
"Andover","0901301080",2012,"18 to 24 years","Number","DUI Arrests",3
"Andover","0901301080",2012,"18 to 24 years","Rate (per 10,000)","DUI Arrests",104.9
"Andover","0901301080",2012,"18 to 24 years","Rate (per 10,000)","Margins of Error",39.26
"Andover","0901301080",2012,"21 years and over","Number","DUI Arrests",6
"Andover","0901301080",2012,"21 years and over","Rate (per 10,000)","DUI Arrests",26.42
"Andover","0901301080",2012,"21 years and over","Rate (per 10,000)","Margins of Error",2.79
"Andover","0901301080",2013,"Total","Number","DUI Arrests",9
"Andover","0901301080",2013,"Total","Rate (per 10,000)","DUI Arrests",29.08
"Andover","0901301080",2013,"Total","Rate (per 10,000)","Margins of Error",1.36
"Andover","0901301080",2013,"10 years and over","Number","DUI Arrests",9
"Andover","0901301080",2013,"10 years and over","Rate (per 10,000)","DUI Arrests",32.86
"Andover","0901301080",2013,"10 years and over","Rate (per 10,000)","Margins of Error",3.04
"Andover","0901301080",2013,"10 to 17 years","Number","DUI Arrests",0
"Andover","0901301080",2013,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2013,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"10 to 20 years","Number","DUI Arrests",0
"Andover","0901301080",2013,"10 to 20 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2013,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2013,"18 to 24 years","Number","DUI Arrests",2
"Andover","0901301080",2013,"18 to 24 years","Rate (per 10,000)","DUI Arrests",62.5
"Andover","0901301080",2013,"18 to 24 years","Rate (per 10,000)","Margins of Error",19.51
"Andover","0901301080",2013,"21 years and over","Number","DUI Arrests",9
"Andover","0901301080",2013,"21 years and over","Rate (per 10,000)","DUI Arrests",41.19
"Andover","0901301080",2013,"21 years and over","Rate (per 10,000)","Margins of Error",4.31
"Andover","0901301080",2014,"Total","Number","DUI Arrests",4
"Andover","0901301080",2014,"Total","Rate (per 10,000)","DUI Arrests",12.57
"Andover","0901301080",2014,"Total","Rate (per 10,000)","Margins of Error",0.6
"Andover","0901301080",2014,"10 years and over","Number","DUI Arrests",4
"Andover","0901301080",2014,"10 years and over","Rate (per 10,000)","DUI Arrests",14.28
"Andover","0901301080",2014,"10 years and over","Rate (per 10,000)","Margins of Error",1.39
"Andover","0901301080",2014,"10 to 17 years","Number","DUI Arrests",0
"Andover","0901301080",2014,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2014,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"10 to 20 years","Number","DUI Arrests",0
"Andover","0901301080",2014,"10 to 20 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2014,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"18 to 24 years","Number","DUI Arrests",0
"Andover","0901301080",2014,"18 to 24 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2014,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2014,"21 years and over","Number","DUI Arrests",4
"Andover","0901301080",2014,"21 years and over","Rate (per 10,000)","DUI Arrests",17.47
"Andover","0901301080",2014,"21 years and over","Rate (per 10,000)","Margins of Error",1.89
"Andover","0901301080",2015,"Total","Number","DUI Arrests",8
"Andover","0901301080",2015,"Total","Rate (per 10,000)","DUI Arrests",24.87
"Andover","0901301080",2015,"Total","Rate (per 10,000)","Margins of Error",1.28
"Andover","0901301080",2015,"10 years and over","Number","DUI Arrests",8
"Andover","0901301080",2015,"10 years and over","Rate (per 10,000)","DUI Arrests",28.03
"Andover","0901301080",2015,"10 years and over","Rate (per 10,000)","Margins of Error",2.81
"Andover","0901301080",2015,"10 to 17 years","Number","DUI Arrests",0
"Andover","0901301080",2015,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2015,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2015,"10 to 20 years","Number","DUI Arrests",1
"Andover","0901301080",2015,"10 to 20 years","Rate (per 10,000)","DUI Arrests",19.16
"Andover","0901301080",2015,"10 to 20 years","Rate (per 10,000)","Margins of Error",4.5
"Andover","0901301080",2015,"18 to 24 years","Number","DUI Arrests",2
"Andover","0901301080",2015,"18 to 24 years","Rate (per 10,000)","DUI Arrests",54.64
"Andover","0901301080",2015,"18 to 24 years","Rate (per 10,000)","Margins of Error",18.92
"Andover","0901301080",2015,"21 years and over","Number","DUI Arrests",7
"Andover","0901301080",2015,"21 years and over","Rate (per 10,000)","DUI Arrests",30.02
"Andover","0901301080",2015,"21 years and over","Rate (per 10,000)","Margins of Error",3.33
"Andover","0901301080",2016,"Total","Number","DUI Arrests",3
"Andover","0901301080",2016,"Total","Rate (per 10,000)","DUI Arrests",9.34
"Andover","0901301080",2016,"Total","Rate (per 10,000)","Margins of Error",0.43
"Andover","0901301080",2016,"10 years and over","Number","DUI Arrests",3
"Andover","0901301080",2016,"10 years and over","Rate (per 10,000)","DUI Arrests",10.32
"Andover","0901301080",2016,"10 years and over","Rate (per 10,000)","Margins of Error",0.98
"Andover","0901301080",2016,"10 to 17 years","Number","DUI Arrests",0
"Andover","0901301080",2016,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2016,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2016,"10 to 20 years","Number","DUI Arrests",0
"Andover","0901301080",2016,"10 to 20 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2016,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2016,"18 to 24 years","Number","DUI Arrests",0
"Andover","0901301080",2016,"18 to 24 years","Rate (per 10,000)","DUI Arrests",0
"Andover","0901301080",2016,"18 to 24 years","Rate (per 10,000)","Margins of Error",0
"Andover","0901301080",2016,"21 years and over","Number","DUI Arrests",3
"Andover","0901301080",2016,"21 years and over","Rate (per 10,000)","DUI Arrests",12.55
"Andover","0901301080",2016,"21 years and over","Rate (per 10,000)","Margins of Error",1.24
"Ansonia","0900901220",2010,"Total","Number","DUI Arrests",60
"Ansonia","0900901220",2010,"Total","Rate (per 10,000)","DUI Arrests",31.31
"Ansonia","0900901220",2010,"Total","Rate (per 10,000)","Margins of Error",0.07
"Ansonia","0900901220",2010,"10 years and over","Number","DUI Arrests",60
"Ansonia","0900901220",2010,"10 years and over","Rate (per 10,000)","DUI Arrests",35.38
"Ansonia","0900901220",2010,"10 years and over","Rate (per 10,000)","Margins of Error",1.87
"Ansonia","0900901220",2010,"10 to 17 years","Number","DUI Arrests",1
"Ansonia","0900901220",2010,"10 to 17 years","Rate (per 10,000)","DUI Arrests",4.28
"Ansonia","0900901220",2010,"10 to 17 years","Rate (per 10,000)","Margins of Error",0.69
"Ansonia","0900901220",2010,"10 to 20 years","Number","DUI Arrests",6
"Ansonia","0900901220",2010,"10 to 20 years","Rate (per 10,000)","DUI Arrests",19.71
"Ansonia","0900901220",2010,"10 to 20 years","Rate (per 10,000)","Margins of Error",2.82
"Ansonia","0900901220",2010,"18 to 24 years","Number","DUI Arrests",20
"Ansonia","0900901220",2010,"18 to 24 years","Rate (per 10,000)","DUI Arrests",120.05
"Ansonia","0900901220",2010,"18 to 24 years","Rate (per 10,000)","Margins of Error",26.71
"Ansonia","0900901220",2010,"21 years and over","Number","DUI Arrests",54
"Ansonia","0900901220",2010,"21 years and over","Rate (per 10,000)","DUI Arrests",38.8
"Ansonia","0900901220",2010,"21 years and over","Rate (per 10,000)","Margins of Error",2.19
"Ansonia","0900901220",2011,"Total","Number","DUI Arrests",23
"Ansonia","0900901220",2011,"Total","Rate (per 10,000)","DUI Arrests",11.98
"Ansonia","0900901220",2011,"Total","Rate (per 10,000)","Margins of Error",0.02
"Ansonia","0900901220",2011,"10 years and over","Number","DUI Arrests",23
"Ansonia","0900901220",2011,"10 years and over","Rate (per 10,000)","DUI Arrests",13.53
"Ansonia","0900901220",2011,"10 years and over","Rate (per 10,000)","Margins of Error",0.74
"Ansonia","0900901220",2011,"10 to 17 years","Number","DUI Arrests",0
"Ansonia","0900901220",2011,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Ansonia","0900901220",2011,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2011,"10 to 20 years","Number","DUI Arrests",1
"Ansonia","0900901220",2011,"10 to 20 years","Rate (per 10,000)","DUI Arrests",3.24
"Ansonia","0900901220",2011,"10 to 20 years","Rate (per 10,000)","Margins of Error",0.48
"Ansonia","0900901220",2011,"18 to 24 years","Number","DUI Arrests",5
"Ansonia","0900901220",2011,"18 to 24 years","Rate (per 10,000)","DUI Arrests",28.26
"Ansonia","0900901220",2011,"18 to 24 years","Rate (per 10,000)","Margins of Error",5.95
"Ansonia","0900901220",2011,"21 years and over","Number","DUI Arrests",22
"Ansonia","0900901220",2011,"21 years and over","Rate (per 10,000)","DUI Arrests",15.81
"Ansonia","0900901220",2011,"21 years and over","Rate (per 10,000)","Margins of Error",0.92
"Ansonia","0900901220",2012,"Total","Number","DUI Arrests",32
"Ansonia","0900901220",2012,"Total","Rate (per 10,000)","DUI Arrests",16.68
"Ansonia","0900901220",2012,"Total","Rate (per 10,000)","Margins of Error",0.03
"Ansonia","0900901220",2012,"10 years and over","Number","DUI Arrests",32
"Ansonia","0900901220",2012,"10 years and over","Rate (per 10,000)","DUI Arrests",18.96
"Ansonia","0900901220",2012,"10 years and over","Rate (per 10,000)","Margins of Error",1.08
"Ansonia","0900901220",2012,"10 to 17 years","Number","DUI Arrests",0
"Ansonia","0900901220",2012,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Ansonia","0900901220",2012,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2012,"10 to 20 years","Number","DUI Arrests",2
"Ansonia","0900901220",2012,"10 to 20 years","Rate (per 10,000)","DUI Arrests",6.95
"Ansonia","0900901220",2012,"10 to 20 years","Rate (per 10,000)","Margins of Error",1.07
"Ansonia","0900901220",2012,"18 to 24 years","Number","DUI Arrests",10
"Ansonia","0900901220",2012,"18 to 24 years","Rate (per 10,000)","DUI Arrests",54.82
"Ansonia","0900901220",2012,"18 to 24 years","Rate (per 10,000)","Margins of Error",12.4
"Ansonia","0900901220",2012,"21 years and over","Number","DUI Arrests",30
"Ansonia","0900901220",2012,"21 years and over","Rate (per 10,000)","DUI Arrests",21.43
"Ansonia","0900901220",2012,"21 years and over","Rate (per 10,000)","Margins of Error",1.31
"Ansonia","0900901220",2013,"Total","Number","DUI Arrests",46
"Ansonia","0900901220",2013,"Total","Rate (per 10,000)","DUI Arrests",24
"Ansonia","0900901220",2013,"Total","Rate (per 10,000)","Margins of Error",0.03
"Ansonia","0900901220",2013,"10 years and over","Number","DUI Arrests",46
"Ansonia","0900901220",2013,"10 years and over","Rate (per 10,000)","DUI Arrests",27.06
"Ansonia","0900901220",2013,"10 years and over","Rate (per 10,000)","Margins of Error",1.51
"Ansonia","0900901220",2013,"10 to 17 years","Number","DUI Arrests",0
"Ansonia","0900901220",2013,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Ansonia","0900901220",2013,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2013,"10 to 20 years","Number","DUI Arrests",0
"Ansonia","0900901220",2013,"10 to 20 years","Rate (per 10,000)","DUI Arrests",0
"Ansonia","0900901220",2013,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2013,"18 to 24 years","Number","DUI Arrests",5
"Ansonia","0900901220",2013,"18 to 24 years","Rate (per 10,000)","DUI Arrests",29.85
"Ansonia","0900901220",2013,"18 to 24 years","Rate (per 10,000)","Margins of Error",5.98
"Ansonia","0900901220",2013,"21 years and over","Number","DUI Arrests",46
"Ansonia","0900901220",2013,"21 years and over","Rate (per 10,000)","DUI Arrests",32.29
"Ansonia","0900901220",2013,"21 years and over","Rate (per 10,000)","Margins of Error",1.92
"Ansonia","0900901220",2014,"Total","Number","DUI Arrests",28
"Ansonia","0900901220",2014,"Total","Rate (per 10,000)","DUI Arrests",14.64
"Ansonia","0900901220",2014,"Total","Rate (per 10,000)","Margins of Error",0.02
"Ansonia","0900901220",2014,"10 years and over","Number","DUI Arrests",28
"Ansonia","0900901220",2014,"10 years and over","Rate (per 10,000)","DUI Arrests",16.44
"Ansonia","0900901220",2014,"10 years and over","Rate (per 10,000)","Margins of Error",0.91
"Ansonia","0900901220",2014,"10 to 17 years","Number","DUI Arrests",0
"Ansonia","0900901220",2014,"10 to 17 years","Rate (per 10,000)","DUI Arrests",0
"Ansonia","0900901220",2014,"10 to 17 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2014,"10 to 20 years","Number","DUI Arrests",0
"Ansonia","0900901220",2014,"10 to 20 years","Rate (per 10,000)","DUI Arrests",0
"Ansonia","0900901220",2014,"10 to 20 years","Rate (per 10,000)","Margins of Error",0
"Ansonia","0900901220",2014,"18 to 24 years","Number","DUI Arrests",6
"Ansonia","0900901220",2014,"18 to 24 years","Rate (per 10,000)","DUI Arrests",37.66
"Ansonia","0900901220",2014,"18 to 24 years","Rate (per 10,000)","Margins of Error",7.49
"Ansonia","0900901220",2014,"21 years and over","Number","DUI Arrests",28
"Ansonia","0900901220",2014,"21 years and over","Rate (per 10,000)","DUI Arrests",19.66
"Ansonia","0900901220",2014,"21 years and over","Rate (per 10,000)","Margins of Error",1.16
"Ansonia","0900901220",2015,"Total","Number","DUI Arrests",34
"Ansonia","0900901220",2015,"Total","Rate (per 10,000)","DUI Arrests",17.86
"Ansonia","0900901220",2015,"Total","Rate (per 10,000)","Margins of Error",0.04
